URL,Original Price,Brand,Color,"City (LA, NYC)","Activity (Dining, PP)","Category (Dresses, Outerwear, Accesories)"
https://www.renttherunway.com/shop/designers/shoshanna/amsterdam_dress,400,Shoshanna,Amsterdam Dress,,,
https://www.renttherunway.com/shop/designers/shoshanna/dania_dress,405,Shoshanna,Dania Dress,,,
https://www.renttherunway.com/shop/designers/shoshanna/marmande_dress,398,"Shoshanna
",White,,,Dresses
https://www.renttherunway.com/shop/designers/slate__willow/cobalt_lace_midi_dress,250,"Slate & Willow
Cobalt Lace Midi Dress",,,,Dresses
https://www.renttherunway.com/shop/designers/slate__willow/cutout_hem_colorblock_sheath,285,Slate & Willow,Cutout Hem Colorblock Sheath,,,
https://www.renttherunway.com/shop/designers/slate__willow/one_shoulder_ruffle_dress,330,Slate & Willow,One Shoulder Ruffle Dress,,,
https://www.renttherunway.com/shop/designers/stylestalker/black_morello_dress,179,STYLESTALKER,Black Morello Dress,,,
https://www.renttherunway.com/shop/designers/stylestalker/black_sana_dress,240,STYLESTALKER,Black Sana Dress,,,
https://www.renttherunway.com/shop/designers/susana_monaco/side_gathered_cutout_dress,216,Susana Monaco,Side Gathered Cutout Dress,,,
https://www.renttherunway.com/shop/designers/ted_baker_london/ellijo_dress,279,Ted Baker London,Ellijo Dress,,,
https://www.renttherunway.com/shop/designers/the_kooples/laced_black_dress,450,The Kooples,Laced Black Dress,,,
https://www.renttherunway.com/shop/designers/the_kooples/leather_stripe_dress,455,The Kooples,Leather Stripe Dress,,,
https://www.renttherunway.com/shop/designers/theia/leather_one_shoulder_dress,550,Theia,Leather One Shoulder Dress,,,
